itemid,mean,dev_std,min,max,sparse
33,7.522454e-05, 6.349473e-05, 1.283087e-05, 0.00035114767, 0.9955415556094015
34,0, 0, 0, 0, 1
35,4.8880847e-05, 4.0791525e-05, 1.7931558e-05, 0.00017687205, 0.9988369275502786
36,0, 0, 0, 0, 1
37,0.00012653909, 0.0001652822, 5.124253e-06, 0.0010432473, 0.9871092803489218
38,6.606294e-05, 5.499721e-05, 1.1302331e-05, 0.00025501865, 0.9960746304821905
39,0, 0, 0, 0, 1
40,0, 0, 0, 0, 1
41,0, 0, 0, 0, 1
42,0.00013476524, 0.00015541843, 5.559972e-06, 0.00053398166, 0.9984007753816332
43,0, 0, 0, 0, 1
44,0, 0, 0, 0, 1
45,6.0393686e-05, 4.0035207e-05, 1.8759227e-05, 0.00013763152, 0.9995153864792827
46,3.2903055e-05, 1.3837089e-05, 1.8778288e-05, 5.8428923e-05, 0.999660770535498
47,0, 0, 0, 0, 1
48,1.8565515e-05, 0.0, 1.8565515e-05, 1.8565515e-05, 0.9999515386479283
49,0, 0, 0, 0, 1
50,0, 0, 0, 0, 1
51,6.3011255e-05, 2.5548043e-05, 3.831693e-05, 9.75013e-05, 0.9998061545917131
52,0, 0, 0, 0, 1
53,0, 0, 0, 0, 1
54,0, 0, 0, 0, 1
55,7.760697e-05, 8.9343186e-05, 1.8225706e-05, 0.00033407053, 0.9992730797189242
56,0.00023532096, 0.00033411485, 2.0671907e-06, 0.0022271655, 0.9745577901623456
